x,y,value
0.8410845378185019,0.1447287338230796," "
0.24590528594640382,0.17753553433219932,"!"
0.9999998625952274,0.17324430338156632,""""
2.9295361897441197E-7,0.9999999886820129,"#"
0.21026128072958167,0.7963681252320463,$
0.9999995836134887,0.8037196946434266,%
0.15220588366338733,0.9999999941135979,&
0.28443688528894584,0.10243564379388753,'
0.3745590088981162,1.2693686463616238E-6,(
0.6419696544523587,0.015298211943010398,)
0.1959008031733538,0.5946980704114453,*
0.42229718734573324,0.3130175498111999,+
0.8597949040974211,0.05325943131649974,","
0.6599190593995041,0.205753747248819,-
0.9999999334262581,7.2460514695671385E-6,.
0.9999997500566697,0.3561318168119716,/
0.8317373475671952,0.999999975106557,0
0.09609872989075913,0.13441224286735276,1
0.7674895909941344,0.7333300876389487,2
0.69475603804646,0.8420190108142676,3
2.95637592573339E-7,0.8510032103155636,4
0.9999999579761741,0.9999999668459832,5
0.3649140895684171,0.9999999174218306,6
0.9999995145412731,0.6190930615914578,7
0.5862370361883683,0.9999795156905313,8
0.5180156513897987,0.7985744638869436,9
9.905754494443642E-8,0.04008317927123395,:
0.03368843263531546,3.4744081416904216E-6,;
0.15650429182629116,5.021556284822148E-4,<
2.802258976530858E-7,0.3981014818012171,=
0.7756762468653489,1.9564850625708452E-5,>
0.5129694086046254,0.5676927082695568,?
